Team____,Team____,Pl______,W____,D____,L____,PF___,PA___,Diff__,TF___,TA___,Pts_
        
2010    
France  ,Fra     ,5       ,5    ,0    ,0    ,135  ,69   ,66    ,13   ,6    ,10  
Ireland ,Ire     ,5       ,3    ,0    ,2    ,106  ,95   ,11    ,11   ,6    ,6   
England ,Eng     ,5       ,2    ,1    ,2    ,88   ,76   ,12    ,6    ,5    ,5   
Wales   ,Wal     ,5       ,2    ,0    ,3    ,113  ,117  ,-4    ,10   ,11   ,4   
Scotland,Sco     ,5       ,1    ,1    ,3    ,83   ,100  ,-17   ,3    ,8    ,3   
Italy   ,Ita     ,5       ,1    ,0    ,4    ,69   ,137  ,-68   ,5    ,12   ,2   
        
2009    
Ireland ,Ire     ,5       ,5    ,0    ,0    ,121  ,73   ,48    ,12   ,3    ,10  
England ,Eng     ,5       ,3    ,0    ,2    ,124  ,70   ,54    ,16   ,5    ,6   
France  ,Fra     ,5       ,3    ,0    ,2    ,124  ,101  ,23    ,12   ,10   ,6   
Wales   ,Wal     ,5       ,3    ,0    ,2    ,100  ,81   ,19    ,7    ,5    ,6    
Scotland,Sco     ,5       ,1    ,0    ,4    ,79   ,102  ,-23   ,2    ,9    ,2   
Italy   ,Ita     ,5       ,0    ,0    ,5    ,49   ,170  ,-121  ,2    ,19   ,0   
        
2008    
Wales   ,Wal     ,5       ,5    ,0    ,0    ,148  ,66   ,82    ,13   ,2    ,10  
England ,Eng     ,5       ,3    ,0    ,2    ,108  ,83   ,25    ,8    ,5    ,6   
France  ,Fra     ,5       ,3    ,0    ,2    ,103  ,93   ,10    ,11   ,6    ,6   
Ireland ,Ire     ,5       ,2    ,0    ,3    ,93   ,99   ,-6    ,8    ,10   ,4   
Scotland,Sco     ,5       ,1    ,0    ,4    ,69   ,123  ,-54   ,3    ,12   ,2   
Italy   ,Ita     ,5       ,1    ,0    ,4    ,74   ,131  ,-57   ,5    ,13   ,2   
        
2007    
France  ,Fra     ,5       ,4    ,0    ,1    ,155  ,86   ,69    ,15   ,9    ,8   
Ireland ,Ire     ,5       ,4    ,0    ,1    ,149  ,84   ,65    ,17   ,5    ,8   
England ,Eng     ,5       ,3    ,0    ,2    ,119  ,115  ,4     ,10   ,9    ,6   
Italy   ,Ita     ,5       ,2    ,0    ,3    ,94   ,147  ,-53   ,9    ,18   ,4   
Wales   ,Wal     ,5       ,1    ,0    ,4    ,86   ,113  ,-27   ,7    ,9    ,2   
Scotland,Sco     ,5       ,1    ,0    ,4    ,95   ,153  ,-58   ,7    ,15   ,2   
        
2006    
France  ,Fra     ,5       ,4    ,0    ,1    ,148  ,85   ,63    ,18   ,7    ,8   
Ireland ,Ire     ,5       ,4    ,0    ,1    ,131  ,97   ,34    ,12   ,10   ,8   
Scotland,Sco     ,5       ,3    ,0    ,2    ,78   ,81	,-3    ,3    ,3    ,6    
England ,Eng     ,5       ,2    ,0    ,3    ,120  ,106  ,14    ,12   ,8    ,4   
Wales   ,Wal     ,5       ,1    ,1    ,3    ,80   ,135  ,-55   ,5    ,13   ,3   
Italy   ,Ita     ,5       ,0    ,1    ,4    ,72   ,125  ,-53   ,5    ,14   ,1   
        
2005    
Wales   ,Wal     ,5       ,5    ,0    ,0    ,151  ,77   ,74    ,17   ,8    ,10  
France  ,Fra     ,5       ,4    ,0    ,1    ,134  ,82   ,52    ,13   ,6    ,8   
Ireland ,Ire     ,5       ,3    ,0    ,2    ,126  ,101  ,25    ,12   ,9    ,6   
England ,Eng     ,5       ,2    ,0    ,3    ,121  ,77   ,44    ,16   ,6    ,4   
Scotland,Sco     ,5       ,1    ,0    ,4    ,84   ,155  ,-71   ,8    ,20   ,2   
Italy   ,Ita     ,5       ,0    ,0    ,5    ,55   ,179  ,-124  ,5    ,22   ,0   
        
2004    
France  ,Fra     ,5       ,5    ,0    ,0    ,144  ,60   ,84    ,14   ,5    ,10  
Ireland ,Ire     ,5       ,4    ,0    ,1    ,128  ,82   ,46    ,17   ,8    ,8   
England ,Eng     ,5       ,3    ,0    ,2    ,150  ,86   ,64    ,17   ,6    ,6   
Wales   ,Wal     ,5       ,2    ,0    ,3    ,125  ,116  ,9     ,14   ,13   ,4   
Italy   ,Ita     ,5       ,1    ,0    ,4    ,42   ,152  ,-110  ,2    ,20   ,2   
Scotland,Sco     ,5       ,0    ,0    ,5    ,53   ,146  ,-93   ,4    ,16   ,0   
        
2003    
England ,Eng     ,5       ,5    ,0    ,0    ,173  ,46   ,127   ,18   ,4    ,10  
Ireland ,Ire     ,5       ,4    ,0    ,1    ,119  ,97   ,22    ,10   ,9    ,8   
France  ,Fra     ,5       ,3    ,0    ,2    ,153  ,75   ,78    ,17   ,6    ,6   
Scotland,Sco     ,5       ,2    ,0    ,3    ,81   ,161  ,-80   ,7    ,17   ,4   
Italy   ,Ita     ,5       ,1    ,0    ,4    ,100  ,185  ,-85   ,12   ,25   ,2   
Wales   ,Wal     ,5       ,0    ,0    ,5    ,82   ,144  ,-62   ,10   ,13   ,0   
        
2002    
France  ,Fra     ,5       ,5    ,0    ,0    ,156  ,75   ,81    ,15   ,7    ,10  
England ,Eng     ,5       ,4    ,0    ,1    ,184  ,53   ,131   ,23   ,4    ,8   
Ireland ,Ire     ,5       ,3    ,0    ,2    ,145  ,138  ,7     ,16   ,15   ,6   
Scotland,Sco     ,5       ,2    ,0    ,3    ,91   ,128  ,-37   ,6    ,13   ,4   
Wales   ,Wal     ,5       ,1    ,0    ,4    ,119  ,188  ,-69   ,11   ,18   ,2   
Italy   ,Ita     ,5       ,0    ,0    ,5    ,70   ,183  ,-113  ,4    ,18   ,0   
        
2001    
England ,Eng     ,5       ,4    ,0    ,1    ,229  ,80   ,149   ,29   ,6    ,8   
Ireland ,Ire     ,5       ,4    ,0    ,1    ,129  ,89   ,40    ,11   ,10   ,8   
Scotland,Sco     ,5       ,2    ,1    ,2    ,92   ,116  ,-24   ,8    ,10   ,5   
Wales   ,Wal     ,5       ,2    ,1    ,2    ,125  ,166  ,-41   ,10   ,15   ,5   
France  ,Fra     ,5       ,2    ,0    ,3    ,115  ,138  ,-23   ,9    ,12   ,4   
