year,england,scotland,ireland,wales,france,italy,england_pd,scotland_pd,ireland_pd,wales_pd,france_pd,italy_pd
2015,2      ,6       ,1      ,3    ,4     ,5    ,57        ,-55        ,63        ,53      ,2        ,-120    
2014,2      ,5       ,1      ,3    ,4     ,6    ,73        ,-91        ,83        ,43      ,1        ,-109    
2013,2      ,3       ,5      ,1    ,6     ,4    ,16        ,-9         ,-9        ,56      ,-18      ,-36     
2012,2      ,6       ,3      ,1    ,4     ,5    ,27        ,-52        ,27        ,51      ,15       ,-68     
2011,1      ,5       ,3      ,4    ,2     ,6    ,51        ,-27        ,12        ,6       ,26       ,-68     
2010,3      ,5       ,2      ,4    ,1     ,6    ,12        ,-17        ,11        ,-4      ,66       ,-68     
2009,2      ,5       ,1      ,4    ,3     ,6    ,54        ,-23        ,48        ,19      ,23       ,-121    
2008,2      ,5       ,4      ,1    ,3     ,6    ,25        ,-54        ,-6        ,82      ,10       ,-57     
2007,3      ,6       ,2      ,5    ,1     ,4    ,4         ,-58        ,65        ,-27     ,69       ,-58     
2006,4      ,3       ,2      ,5    ,1     ,6    ,14        ,-3         ,34        ,-55     ,63       ,-53     
2005,4      ,5       ,3      ,1    ,2     ,6    ,0         ,0          ,0         ,0       ,0        ,0       
2004,3      ,6       ,2      ,4    ,1     ,5    ,0         ,0          ,0         ,0       ,0        ,0       
2003,1      ,4       ,2      ,6    ,3     ,5    ,0         ,0          ,0         ,0       ,0        ,0       
2002,2      ,4       ,3      ,5    ,1     ,6    ,0         ,0          ,0         ,0       ,0        ,0       
2001,1      ,3       ,2      ,4    ,5     ,6    ,0         ,0          ,0         ,0       ,0        ,0       
2000,1      ,5       ,3      ,4    ,2     ,6    ,0         ,0          ,0         ,0       ,0        ,0       
1999,2      ,1       ,4      ,3    ,5     ,null ,0         ,0          ,0         ,0       ,0        ,0       
1998,2      ,4       ,5      ,3    ,1     ,null ,0         ,0          ,0         ,0       ,0        ,0       
1997,2      ,4       ,5      ,3    ,1     ,null ,0         ,0          ,0         ,0       ,0        ,0       
1996,1      ,2       ,5      ,4    ,3     ,null ,0         ,0          ,0         ,0       ,0        ,0       
1995,1      ,2       ,4      ,5    ,3     ,null ,0         ,0          ,0         ,0       ,0        ,0       
1994,2      ,5       ,4      ,1    ,3     ,null ,0         ,0          ,0         ,0       ,0        ,0       
1993,3      ,2       ,4      ,5    ,1     ,null ,0         ,0          ,0         ,0       ,0        ,0       
1992,1      ,3       ,5      ,4    ,2     ,null ,0         ,0          ,0         ,0       ,0        ,0       
